JO_REQST_NO,CMPNY_NM,JO_SJ,JOBCODE_NM,CAREER_CND_NM,ACDMCR_NM,EMPLYM_STLE_CMMN_MM,HOPE_WAGE,WORK_PARAR_BASS_ADRES_CN,SUBWAY_NM,WORK_TIME_NM,HOLIDAY_NM,WEEK_WORK_HR,RCEPT_CLOS_NM,RCEPT_MTH_NM,PRESENTN_PAPERS_NM,MNGR_PHON_NO,BSNS_SUMRY_CN,DTY_CN,RET_GRANTS_NM,JO_FEINSR_SBSCRB_NM,JO_REG_DT,WELFARE_CN,직무상세성점수,기업소개점수,급여품질점수,복지점수,근무조건점수,출퇴근편의점수,종합점수,등급
H954202607270939,부모요양원,부모요양원 간호조무사 구인,간호조무사,무관,관계없음,상용직,월급 / 216만원 ,경기 안성시,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-26),방문 고용24 입사지원 기타 ,이력서 자기소개서 경력증명서 ,031-686-1716,노인요양,"[보건>의료기술지원>요양지원]
물품전달
검체물 전달하기,부소독물 전달하기,서류 전달하기,소독물 전달하기,약품 전달하기

[보건>보건지원>보건교육]
보건교육 평가
보건교육 평가 방법 선정하기,보건교육 평가지표 개발하기,보건교육 평가하기,보건교육평가결과 피드백하기

[보건>의료기술지원>요양지원]
사고예방지원
대상자 관찰하기,상황별 보고하기,주변상황 관찰하기

[보건>의료기술지원>요양지원]
진료지원보조
고객안내하기,의료기기 안전관리 결과서 작성하기,의료기기 안전관리 점검하기,정리정돈하기,진료준비하기

간호업무와 행정업무",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,17.5,5.0,20.0,7.4,20.0,7.0,76.9,B
H954202607271418,주식회사 해광,[파주 동패동] 파주운정한울마을5단지아파트 내부미화원 모집,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",무관,관계없음,계약직,월급 / 161만원 ,경기 파주시파주운정한울마을5단지아파트,,(근무시간) (오전) 9시 00분 ~ (오후) 4시 00분,주5일근무,30,마감일 (2026-09-26),기타   ,이력서   ,031-231-7801,.,"파주운정한울마을5단지아파트 내부미화원 모집

아파트 청소(계단,복도,엘리베이터)

근무시간 평일 09:00 ~ 16:00 (6시간 근무, 1시간 휴게시간) , 토요일 근무없음

급여 1,614,360원",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,20.0,7.4,20.0,7.0,64.4,C
H954202607270496,자양방문요양센터,[자양동/5등급/여자/오후] 재가 요양보호사 채용,재가 간병인,무관,관계없음,계약직(시간제),시급 / 10320원 ,서울 성동구성수동성당 인근,,(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분,주5일근무,15,마감일 (2026-09-26),방문 기타  ,기타   ,02-450-1419,방문요양서비스,"* 5등급 여자어르신(34년생) 케어/거동가능/독거
* 인지활동프로그램 진행(치매교육이수증 또는 지원자격 필수)
* 말벗/병원동행/점심식사 차려드리기/방 청소, 세탁 등 일상생활지원
* 오후1시 또는 2시 출근시간 협의",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607271893,(주)씨에이치케이,(주)씨에이치케이 - 의료기기 영업 관리 신입사원 모집 [정규직],생산·품질 사무원 및 관리원(그 외 분야),신입,관계없음,상용직,최소연봉 / 3120만원 ,서울 서초구정원빌딩 2층,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-26),고용24 입사지원   ,이력서 자기소개서  ,02-580-4920,수입의료기기 도소매,"- 의료기기 발주 및 구매관리
- 재고관리
- 병원 의료기기 납품 및 대리점 택배 발송

- 신입 
- 필수 : 운전면허 소지자 및 운전 가능자  (회사 차량 및 주유비 지원)
- 우대사항 : 인근 거주, 1종 보통운전면허",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,8.0,5.0,20.0,7.4,20.0,7.0,67.4,C
H954202607271819,여의도노인복지센터,재가요양보호사 모집 - 여의도 미성아파트/4등급/남,재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,서울 영등포구5호선 여의도역 근처,, 08:00~11:00/주5일,주5일근무,0,마감일 (2026-09-26),기타   ,기타   ,02-2670-3798,"방문요양, 방문목욕","[재가요양보호사 모집] 

직무: 4등급 남자어르신 돌봄 
- 92세 어르신, 혼자 거동가능 
- 가사도움 및 일상생활 지원/산책없음

근무시간: 08:00~11:00/주5일
시급: 10,320원 ( + 주휴수당 2,064원 + 연차수당 594 + 기타수당 22원 + 처우개선비 100원 )

* 전화지원 010-8396-3577 (김영순 센터장)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,9.0,65.9,C
H954202607271699,경기방문간호센터,1등급 할아버님 재가요양보호사 구인,요양 보호사 및 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 의왕시,,"주5일, 10:00~13:00",주5일근무,15,마감일 (2026-09-26),방문   ,이력서   ,031-345-2466,.,"○ 1등급 할아버님 케어
○ 목관, 뱃줄, 기저귀 케어등 신체케어 지원 도움
○ 주5일, 10:00~13:00
○ 시급 10,320 + 제수당 = 13,000원
○ 가족휴가제도 가능함",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607271465,성실노인복지센터,[은평구 구산동] 4등급 남자어르신 댁에서 근무하실 요양보호사 선생님을 모집합니다.,재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,서울 은평구3,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,,마감일 (2026-09-26),기타   ,기타   ,02-2077-6071,방문요양,"안녕하세요 서울 은평구 구산동에 거주하고 계시는 

4등급 남자 어르신(41년생) 댁에서 근무하실 요양보호사 선생님을 모집합니다.

배우자분과 아파트에서 생활하고 계시며 주 5회 방문 요양 서비스를 받고 싶어 하십니다.

근무시간은 오전 9시부터 12시까지 이며 

주로 신체 활동,정서 지원,가사 일상생활 등의 서비스를 희망하십니다.

시급은 주휴수당과 연차수당을 포함하여 13,100원입니다.

희망하시는 요양보호사 선생님께서는 연락 부탁드립니다.",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,11.5,5.0,18.0,7.4,16.0,7.0,64.9,C
H954202607270896,가족사랑 간호와요양,"재가 요양보호사 - 독산동, 3등급 여, 10:00~13:00, 주5일",재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,서울 금천구,,(근무시간) (오전) 10시 00분 ~ (오후) 1시 00분,주5일근무,0,마감일 (2026-09-26),방문   ,기타   ,02-2627-1919,"재가방문요양, 방문간호","○ 3등급 여

○ 기본 시급 10,320원 + 주휴수당 + 연차수당 + 기타수당 = 시급 13,200원",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607270830,다사랑재가복지센터,[홍익동/4등급 할아버지/09:00-12:00/주5일] 재가 요양보호사 구인,재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,서울 성동구.,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,,마감일 (2026-09-26),고용24 입사지원   ,기타   ,02-2286-5409,"방문요양, 방문목욕","식단 준비, 외출 동행 없음.

근무시간 : 09:00-12:00, 주 5일, 월 24회(토요일 격주)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,16.0,7.0,58.4,C
H954202607270700,의료법인 신안의료재단 연세요양병원,요양병원 보건의료정보관리사(구 의무기록사) 모십니다.,의무기록사,무관,관계없음,상용직,월급 / 230만원 ,경기 양주시연세요양병원,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-26),방문 우편 고용24 입사지원 ,이력서   ,031-849-2332,요양병원,"원무행정, 청구 보조
의무기록 관리
(EMR 전산 프로그램 사용)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
H954202607270458,하음복지센터,[채용대행]4등급 할머니  요양보호사 채용 ,재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,경기 시흥시,,(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분,주5일근무,0,마감일 (2026-09-26),방문 고용24 입사지원  ,기타   ,031-310-6287,"방문요양, 방문목욕 몸이 불편한 어르신들을 돕는일","- 4등급 할머니 요양보호업무 (병원동행/산책/가사등)   
- 주5일(월~금)  / 오후1~4시 (시간변경어려움)
- 시급10,320원 ( +기타 제수당 추가 )
  (*어르신 화투놀이를 좋아하셔서 함께해주시길 희망함)",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607270421,울타리재가노인복지센터,"[관악중학교 인근] 4등급 여자어르신 오전 9:00~12:00, 주5일",재가 간병인,무관,관계없음,상용직,시급 / 10320원 ,서울 관악구3차 301동 ,,09:00~12:00 / 주5일,주5일근무,0,마감일 (2026-09-26),방문 기타  ,기타   ,02-879-5775,요양,"[관악중학교 인근] 4등급 여자어르신(86세, 거동가능)

- 직무: 4등급 여자어르신 돌봄 - 가사지원 및 일상생활 등
- 근무시간: 09:00~12:00 / 주5일
- 시급: 13,500원

*전화지원 010-3334-0083",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607270583,(주)탐스,[이천] 회사 리셉션 담당자,데스크 안내원,경력,관계없음,계약직,월급 / 274만원 ,경기 이천시에스타워 2층 KLA,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-26),팩스 고용24 입사지원  ,이력서 자기소개서  ,031-231-7908,건물유지관리업,"◆ 업무:  회사 안내데스크 담당자
  * 안내데스크 운영 및 고객응대
  * 기타 안내테스크 관련업무
◆ 근무지 : 경기도 이천시 부악로20, 에스타워
◆ 근무시간 : 09:00~18:00 (주 5일)(8시간)
◆ 급여: 월2,738,000 원",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,9.5,5.0,20.0,7.4,20.0,7.0,68.9,C
